Entry	Protein names	Length	Subcellular location [CC]	mark
A6NGN9	IgLON family member 5	336	Secreted {ECO:0000305}.	1
A6NHN0	Otolin-1	477	"Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q4ZJM7}. Note=Localized in both the surrounding otoconial matrix and otoconia. {ECO:0000250|UniProtKB:Q4ZJM7}."	1
A6NHN6	Nuclear pore complex-interacting protein family member B15 (Nuclear pore complex-interacting protein-like 2)	443	Secreted {ECO:0000305}.	1
A6NMZ7	Collagen alpha-6(VI) chain	2263	"Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}."	1
A6NNS2	Dehydrogenase/reductase SDR family member 7C (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 2)	312	Secreted {ECO:0000305}.	1
A8K2U0	Alpha-2-macroglobulin-like protein 1 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9)	1454	Secreted {ECO:0000269|PubMed:16298998}.	1
A8MTL9	Serpin-like protein HMSD (Minor histocompatibility protein HMSD) (Minor histocompatibility serpin domain-containing protein)	139	Secreted {ECO:0000305}.	1
A8MV23	Serpin E3	424	Secreted {ECO:0000305}.	1
A8TX70	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	2615	"Secreted, extracellular space, extracellular matrix {ECO:0000250}. Note=Deposed in the extracellular matrix of skeletal muscle. {ECO:0000250}."	1
B1AKI9	Isthmin-1	464	Secreted {ECO:0000305}.	1
B2RNN3	Complement C1q and tumor necrosis factor-related protein 9B (C1q/TNF-related protein 9B) (CTRP9B) (Complement C1q and tumor necrosis factor-related protein 9-like)	333	"Secreted {ECO:0000269|PubMed:19666007}. Note=Heteromeric complex formation with CTRP9A or ADIPOQ is required for secretion, otherwise, it is retained in the endoplasmic reticulum."	1
B2RUY7	von Willebrand factor C domain-containing protein 2-like (Brorin-like)	222	"Secreted {ECO:0000250}. Cell junction, synapse {ECO:0000250}."	1
B9A064	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	214	Secreted {ECO:0000250}.	1
C9JL84	HERV-H LTR-associating protein 1	531	Secreted {ECO:0000305}.	1
E2RYF7	Protein PBMUCL2 (HLA complex group 22) (Panbronchiolitis-related mucin-like protein 2)	251	Secreted {ECO:0000305}.	1
I3L3R5	Coiled-coil domain-containing glutamate-rich protein 2	266	Secreted {ECO:0000305}.	1
K9M1U5	Interferon lambda-4 (IFN-lambda-4)	179	Cytoplasm {ECO:0000269|PubMed:23291588}. Secreted {ECO:0000269|PubMed:23291588}.	1
M5A8F1	Suppressyn (Endogenous retrovirus group 48 member 1) (NDUFV3 antisense RNA 1) (endogenous retrovirus group Fb member 1)	160	Secreted {ECO:0000269|PubMed:23492904}. Note=Also found in cell lysates.	1
O00253	Agouti-related protein	132	Secreted {ECO:0000269|PubMed:15927146}. Golgi apparatus lumen {ECO:0000269|PubMed:15927146}.	1
O00295	Tubby-related protein 2 (Cancer/testis antigen 65) (CT65) (Tubby-like protein 2)	520	Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway. {ECO:0000250}.	1
O00634	Netrin-3 (Netrin-2-like protein)	580	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O00744	Protein Wnt-10b (Protein Wnt-12)	389	"Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}."	1
O00755	Protein Wnt-7a	349	"Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}."	1
O14498	Immunoglobulin superfamily containing leucine-rich repeat protein	428	Secreted {ECO:0000305}.	1
O14594	Neurocan core protein (Chondroitin sulfate proteoglycan 3)	1321	Secreted {ECO:0000250}.	1
O14793	Growth/differentiation factor 8 (GDF-8) (Myostatin)	375	Secreted {ECO:0000250|UniProtKB:O08689}.	1
O14904	Protein Wnt-9a (Protein Wnt-14)	365	"Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}."	1
O14905	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	357	"Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}."	1
O14960	Leukocyte cell-derived chemotaxin-2 (LECT-2) (hLECT2)	151	Cytoplasm {ECO:0000269|PubMed:8877413}. Secreted {ECO:0000269|PubMed:8877413}.	1
O15041	Semaphorin-3E	775	Secreted {ECO:0000250}.	1
O15072	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	1205	"Secreted {ECO:0000269|PubMed:28985353}. Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O15204	ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1)	470	Secreted {ECO:0000250}.	1
O15232	Matrilin-3	486	Secreted {ECO:0000250|UniProtKB:O35701}.	1
O15240	Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]]	615	"[Neurosecretory protein VGF]: Secreted {ECO:0000269|PubMed:19194657}. Cytoplasmic vesicle, secretory vesicle {ECO:0000269|PubMed:19194657}. Note=Stored in secretory vesicles and then secreted, NERP peptides colocalize with vasopressin in the storage granules of hypothalamus."	1
O15335	Chondroadherin (Cartilage leucine-rich protein)	359	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O15496	Group 10 secretory phospholipase A2 (EC 3.1.1.4) (Group X secretory phospholipase A2) (GX sPLA2) (sPLA2-X) (Phosphatidylcholine 2-acylhydrolase 10)	165	"Secreted {ECO:0000269|PubMed:9188469}. Lysosome {ECO:0000250|UniProtKB:Q9QXX3}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q9QXX3}."	1
O15520	Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2)	208	Secreted {ECO:0000305}.	1
O43240	Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1)	276	Secreted {ECO:0000305}.	1
O43320	Fibroblast growth factor 16 (FGF-16)	207	Secreted {ECO:0000250|UniProtKB:O54769}.	1
O43405	Cochlin (COCH-5B2)	550	"Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12843317, ECO:0000269|PubMed:22610276}."	1
O43692	Peptidase inhibitor 15 (PI-15) (25 kDa trypsin inhibitor) (p25TI) (Cysteine-rich secretory protein 8) (CRISP-8) (SugarCrisp)	258	Secreted {ECO:0000269|PubMed:8882727}.	1
O43827	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	346	Secreted {ECO:0000269|PubMed:11682471}.	1
O43866	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	347	"Secreted {ECO:0000269|PubMed:24223991, ECO:0000269|PubMed:24804991}. Cytoplasm {ECO:0000250|UniProtKB:Q9QWK4}. Note=Secreted by macrophages and circulates in the blood (PubMed:24223991, PubMed:24804991). Transported in the cytoplasm via CD36-mediated endocytosis (By similarity). {ECO:0000250|UniProtKB:Q9QWK4, ECO:0000269|PubMed:24223991, ECO:0000269|PubMed:24804991}."	1
O43897	Tolloid-like protein 1 (EC 3.4.24.-)	1013	Secreted {ECO:0000305}.	1
O60218	Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase)	316	Lysosome {ECO:0000269|PubMed:21585341}. Secreted {ECO:0000269|PubMed:21585341}. Note=Secreted through a lysosome-mediated non-classical pathway.	1
O60259	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	260	Secreted {ECO:0000269|PubMed:17761692}. Cytoplasm {ECO:0000269|PubMed:17761692}. Note=Shows a cytoplasmic distribution in the keratinocytes.	1
O60383	Growth/differentiation factor 9 (GDF-9)	454	Secreted {ECO:0000250}.	1
O60565	"Gremlin-1 (Cell proliferation-inducing gene 2 protein) (Cysteine knot superfamily 1, BMP antagonist 1) (DAN domain family member 2) (Down-regulated in Mos-transformed cells protein) (Increased in high glucose protein 2) (IHG-2)"	184	Secreted {ECO:0000305}.	1
O60687	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	465	"Secreted. Cytoplasm. Cell surface. Cell junction, synapse {ECO:0000250}."	1
O60844	Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)	167	"Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17307141}. Cytoplasmic vesicle lumen {ECO:0000305|PubMed:17307141}. Golgi apparatus lumen {ECO:0000269|PubMed:17307141}. Note=Stored in zymogen granules. {ECO:0000250}."	1
O60882	Matrix metalloproteinase-20 (MMP-20) (EC 3.4.24.-) (Enamel metalloproteinase) (Enamelysin)	483	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O60938	Keratocan (KTN) (Keratan sulfate proteoglycan keratocan)	352	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O75093	Slit homolog 1 protein (Slit-1) (Multiple epidermal growth factor-like domains protein 4) (Multiple EGF-like domains protein 4)	1534	Secreted {ECO:0000250}.	1
O75094	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	1523	Secreted {ECO:0000250}.	1
O75095	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	1541	Secreted {ECO:0000305}.	1
O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	837	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O75200	Nuclear pore complex-interacting protein family member B7 (Nuclear pore complex-interacting protein-like 1)	414	Secreted {ECO:0000305}.	1
O75339	Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]	1184	"Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:15864306}."	1
O75356	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	428	Endoplasmic reticulum {ECO:0000250}. Secreted {ECO:0000269|PubMed:10400613}.	1
O75462	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	422	Secreted {ECO:0000269|PubMed:9686600}.	1
O75493	Carbonic anhydrase-related protein 11 (CA-RP XI) (CA-XI) (CARP XI) (Carbonic anhydrase-related protein 2) (CA-RP II) (CARP-2)	328	Secreted {ECO:0000305}.	1
O75594	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	196	Secreted {ECO:0000269|PubMed:16354652}. Cytoplasmic granule {ECO:0000250}.	1
O75596	C-type lectin domain family 3 member A (C-type lectin superfamily member 1) (Cartilage-derived C-type lectin)	197	Secreted {ECO:0000269|PubMed:19173304}.	1
O75629	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	220	Secreted {ECO:0000269|PubMed:10815803}.	1
O75718	Cartilage-associated protein	401	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O75830	Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14)	405	Secreted {ECO:0000305}.	1
O75888	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand) (APRIL) (TNF- and APOL-related leukocyte expressed ligand 2) (TALL-2) (TNF-related death ligand 1) (TRDL-1) (CD antigen CD256)	250	Secreted {ECO:0000269|PubMed:11571266}.	1
O76061	Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP)	302	Secreted {ECO:0000305}.	1
O76076	CCN family member 5 (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2) (WISP-2)	250	Secreted {ECO:0000305}.	1
O76093	Fibroblast growth factor 18 (FGF-18) (zFGF5)	207	Secreted {ECO:0000250}.	1
O76096	Cystatin-F (Cystatin-7) (Cystatin-like metastasis-associated protein) (CMAP) (Leukocystatin)	145	Secreted {ECO:0000269|PubMed:12423348}. Cytoplasm {ECO:0000269|PubMed:12423348}.	1
O94769	Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2)	699	"Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q5FW85}."	1
O94813	Slit homolog 2 protein (Slit-2) [Cleaved into: Slit homolog 2 protein N-product; Slit homolog 2 protein C-product]	1529	Secreted {ECO:0000269|PubMed:10102268}. Note=The C-terminal cleavage protein is more diffusible than the larger N-terminal protein that is more tightly cell associated.	1
O94919	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	500	Secreted {ECO:0000305}.	1
O94964	"Protein SOGA1 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]"	1423	[C-terminal 80 kDa form]: Secreted {ECO:0000250}. Note=Secreted in primary hepatocyte-conditioned media. {ECO:0000250}.	1
O95025	Semaphorin-3D	777	Secreted {ECO:0000250}.	1
O95156	Neurexophilin-2	264	Secreted {ECO:0000305}.	1
O95157	Neurexophilin-3	252	Secreted {ECO:0000305}.	1
O95158	Neurexophilin-4	308	Secreted {ECO:0000305}.	1
O95390	Growth/differentiation factor 11 (GDF-11) (Bone morphogenetic protein 11) (BMP-11)	407	Secreted {ECO:0000305}.	1
O95393	Bone morphogenetic protein 10 (BMP-10)	424	Secreted {ECO:0000250}.	1
O95428	Papilin	1278	Secreted {ECO:0000305}.	1
O95445	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	188	"Secreted {ECO:0000269|PubMed:17525477, ECO:0000269|PubMed:18279674, ECO:0000269|PubMed:18460466}. Note=Present in high density lipoprotein (HDL) and to a lesser extent in triglyceride-rich lipoproteins (TGRLP) and low density lipoproteins (LDL)."	1
O95450	A disintegrin and metalloproteinase with thrombospondin motifs 2 (ADAM-TS 2) (ADAM-TS2) (ADAMTS-2) (EC 3.4.24.14) (Procollagen I N-proteinase) (PC I-NP) (Procollagen I/II amino propeptide-processing enzyme) (Procollagen N-endopeptidase) (pNPI)	1211	"Secreted, extracellular space, extracellular matrix {ECO:0000250}."	1
O95467	Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]	245	"Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Secreted {ECO:0000250}. Note=Neuroendocrine secretory granules. {ECO:0000250}."	1
O95631	Netrin-1 (Epididymis tissue protein Li 131P)	604	Secreted {ECO:0000269|PubMed:28945198}. Cytoplasm {ECO:0000269|PubMed:28945198}. Note=Mainly secreted. {ECO:0000269|PubMed:28945198}.	1
O95813	Cerberus (Cerberus-related protein) (DAN domain family member 4)	267	Secreted {ECO:0000305}.	1
O95841	Angiopoietin-related protein 1 (Angiopoietin-3) (ANG-3) (Angiopoietin-like protein 1)	491	Secreted {ECO:0000269|PubMed:10025962}.	1
O95965	Integrin beta-like protein 1 (Osteoblast-specific cysteine-rich protein) (Ten integrin EGF-like repeat domain-containing protein)	494	Secreted {ECO:0000305}.	1
O95970	Leucine-rich glioma-inactivated protein 1 (Epitempin-1)	557	"Secreted {ECO:0000269|PubMed:16787412, ECO:0000269|PubMed:17067999, ECO:0000269|PubMed:17296837}. Cell junction, synapse {ECO:0000250}. Note=Isoform 1 but not isoform 2 is secreted. Isoform 1 is enriched in the Golgi apparatus while isoform 2 accumulates in the endoplasmic reticulum."	1
O95994	Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog)	175	Secreted {ECO:0000269|PubMed:15834940}. Endoplasmic reticulum {ECO:0000250}.	1
O95998	Interleukin-18-binding protein (IL-18BP) (Tadekinig-alfa)	194	Secreted {ECO:0000269|PubMed:31213488}.	1
O96009	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)	420	Secreted {ECO:0000305}.	1
P00450	Ceruloplasmin (EC 1.16.3.1) (Ferroxidase)	1065	Secreted. Note=Colocalizes with GCP1 in secretory intracellular compartments. {ECO:0000250}.	1
P00488	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	732	"Cytoplasm. Secreted {ECO:0000269|PubMed:4405643}. Note=Secreted into the blood plasma. Cytoplasmic in most tissues, but also secreted in the blood plasma."	1
P00736	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	705	Secreted {ECO:0000269|PubMed:27745832}.	1
P00739	Haptoglobin-related protein	348	Secreted {ECO:0000269|PubMed:16778136}. Note=Secreted into blood plasma and associated with subtypes of high density lipoproteins (HDL). {ECO:0000269|PubMed:16778136}.	1
P00740	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	461	"Secreted {ECO:0000269|PubMed:19846852, ECO:0000269|PubMed:2592373, ECO:0000269|PubMed:3857619, ECO:0000269|PubMed:8295821, ECO:0000269|PubMed:9169594}."	1
P00747	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]"	810	"Secreted {ECO:0000269|PubMed:10077593, ECO:0000269|PubMed:14699093}. Note=Locates to the cell surface where it is proteolytically cleaved to produce the active plasmin. Interaction with HRG tethers it to the cell surface."	1
P00749	Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B]	431	Secreted {ECO:0000269|PubMed:24434139}.	1
P01023	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	1474	Secreted {ECO:0000269|PubMed:6203908}.	1
P01033	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)	207	"Secreted {ECO:0000269|PubMed:1730286, ECO:0000269|PubMed:24635319, ECO:0000269|PubMed:3010309, ECO:0000269|PubMed:3839290, ECO:0000269|PubMed:3903517, ECO:0000269|PubMed:8541540}."	1
P01034	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)	146	Secreted {ECO:0000269|PubMed:20189825}.	1
P01036	Cystatin-S (Cystatin-4) (Cystatin-SA-III) (Salivary acidic protein 1)	141	Secreted {ECO:0000269|PubMed:20189825}.	1
P01037	Cystatin-SN (Cystain-SA-I) (Cystatin-1) (Salivary cystatin-SA-1)	141	Secreted {ECO:0000269|PubMed:20189825}.	1
P01137	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	390	"[Latency-associated peptide]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17827158}.; [Transforming growth factor beta-1]: Secreted {ECO:0000269|PubMed:17827158, ECO:0000269|PubMed:29483653}."	1
P01138	Beta-nerve growth factor (Beta-NGF)	241	Secreted {ECO:0000269|PubMed:20978020}. Endosome lumen {ECO:0000250|UniProtKB:P01139}. Note=ProNGF is endocytosed after binding to the cell surface receptor formed by SORT1 and NGFR. {ECO:0000250|UniProtKB:P01139}.	1
P01160	Natriuretic peptides A (Atrial natriuretic factor prohormone) (proANF) (Atrial natriuretic peptide prohormone) (preproANP) (proANP) (Atriopeptigen) (Cardiodilatin) (CDD) (preproCDD-ANF) [Cleaved into: Long-acting natriuretic peptide (LANP) (Long-acting natriuretic hormone) (LANH) (Pro atrial natriuretic factor 1-30) (proANF 1-30) (Pro atrial natriuretic peptide 1-30) (proANP 1-30); Vessel dilator (VSDL) (Pro atrial natriuretic factor 31-67) (proANF 31-67) (Pro atrial natriuretic peptide 31-67) (proANP 31-67); Kaliuretic peptide (KP) (Pro atrial natriuretic factor 79-98) (proANF 79-98) (Pro atrial natriuretic peptide 79-98) (proANP 79-98); Urodilatin (URO) (CDD 95-126) (CDD-ANP (95-126)) (Pro atrial natriuretic peptide 95-126) (proANP 95-126); Auriculin-C (Atrial natriuretic factor 1-33) (ANF 1-33); Auriculin-D (Atrial natriuretic factor 3-33) (ANF 3-33); Atrial natriuretic peptide (ANP) (Alpha-atrial natriuretic peptide) (Alpha-hANP) (Atrial natriuretic factor) (ANF) (CDD-ANF) (CDD-ANP (99-126)) (Cardionatrin) (Pro atrial natriuretic factor 99-126) (proANF 99-126); Auriculin-B (Atrial natriuretic factor 8-33) (ANF 8-33); Auriculin-A; Atriopeptin-1 (Atriopeptin I); Atriopeptin-2 (Atriopeptin II); Atriopeptin-3 (Atriopeptin III)]	151	"[Long-acting natriuretic peptide]: Secreted {ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8653797}. Note=Detected in blood. {ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8653797}.; [Vessel dilator]: Secreted {ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8653797}. Note=Detected in blood. {ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8653797}.; [Kaliuretic peptide]: Secreted {ECO:0000269|PubMed:7984506}. Note=Detected in blood. {ECO:0000269|PubMed:7984506}.; [Urodilatin]: Secreted {ECO:0000269|PubMed:2972874, ECO:0000269|PubMed:8351194, ECO:0000269|PubMed:8779891, ECO:0000269|PubMed:8853410, ECO:0000269|PubMed:9794555, ECO:0000269|PubMed:9893117}. Note=Detected in urine (PubMed:2972874, PubMed:9794555, PubMed:8351194, PubMed:8779891). Not detected in blood (PubMed:8351194). Increased electrolytes, osmolality and intracellular cAMP levels increase peptide secretion/excretion (PubMed:9893117, PubMed:8853410, PubMed:8351194, PubMed:8779891). {ECO:0000269|PubMed:2972874, ECO:0000269|PubMed:8351194, ECO:0000269|PubMed:8779891, ECO:0000269|PubMed:8853410, ECO:0000269|PubMed:9794555, ECO:0000269|PubMed:9893117}.; [Atrial natriuretic peptide]: Secreted {ECO:0000269|PubMed:15741263, ECO:0000269|PubMed:18835931, ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:2972874, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8351194, ECO:0000269|PubMed:8653797, ECO:0000269|PubMed:8779891, ECO:0000269|PubMed:9893117}. Perikaryon {ECO:0000269|PubMed:30534047}. Cell projection {ECO:0000269|PubMed:30534047}. Note=Detected in blood (PubMed:8351194, PubMed:8779891, PubMed:7955907, PubMed:8653797, PubMed:15741263, PubMed:18835931, PubMed:2532366, PubMed:7984506). Detected in urine in one study (PubMed:8351194). However, in another study, was not detected in urine (PubMed:7984506). Detected in cytoplasmic bodies and neuronal processes of pyramidal neurons (layers II-VI) (PubMed:30534047). Increased secretion in response to the vasopressin AVP (By similarity). Likely to be secreted in response to an increase in atrial pressure or atrial stretch (PubMed:2532366). In kidney cells, secretion increases in response to activated guanylyl cyclases and increased intracellular cAMP levels (PubMed:9893117). Plasma levels increase 15 mins after a high-salt meal, and decrease back to normal plasma levels 1 hr later (PubMed:8779891). {ECO:0000250|UniProtKB:P01161, ECO:0000269|PubMed:15741263, ECO:0000269|PubMed:18835931, ECO:0000269|PubMed:2532366, ECO:0000269|PubMed:30534047, ECO:0000269|PubMed:7955907, ECO:0000269|PubMed:7984506, ECO:0000269|PubMed:8351194, ECO:0000269|PubMed:8653797, ECO:0000269|PubMed:8779891, ECO:0000269|PubMed:9893117}.; [Atriopeptin-3]: Secreted {ECO:0000250|UniProtKB:P01161}. Note=Detected in blood. Slight increase in secretion in response to the vasopressin AVP. {ECO:0000250|UniProtKB:P01161}."	1
