Entry	Protein names	Length	Subcellular location [CC]	mark
Q12836	Zona pellucida sperm-binding protein 4 (Zona pellucida glycoprotein 4) (Zp-4) (Zona pellucida protein B) [Cleaved into: Processed zona pellucida sperm-binding protein 4]	540	[Processed zona pellucida sperm-binding protein 4]: Zona pellucida {ECO:0000250|UniProtKB:Q00193}.; Cell membrane {ECO:0000250|UniProtKB:Q00193}; Single-pass type I membrane protein {ECO:0000255}.	1
Q9NX52	"Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]"	303	"[Rhomboid-related protein 2, C-terminal fragment]: Cell membrane {ECO:0000269|PubMed:19850051}; Multi-pass membrane protein {ECO:0000255}."	1
Q15465	Sonic hedgehog protein (SHH) (HHG-1) (Shh unprocessed N-terminal signaling and C-terminal autoprocessing domains) (ShhNC) [Cleaved into: Sonic hedgehog protein N-product (ShhN) (Shh N-terminal processed signaling domains) (ShhNp)]	462	"[Sonic hedgehog protein N-product]: Cell membrane {ECO:0000250|UniProtKB:Q62226}; Lipid-anchor {ECO:0000250|UniProtKB:Q62226}. Note=The dual-lipidated sonic hedgehog protein N-product (ShhNp) is firmly tethered to the cell membrane where it forms multimers (PubMed:24522195). Further solubilization and release from the cell surface seem to be achieved through different mechanisms, including the interaction with DISP1 and SCUBE2, movement by lipoprotein particles, transport by cellular extensions called cytonemes or by the proteolytic removal of both terminal lipidated peptides (PubMed:26875496, PubMed:24522195). {ECO:0000305|PubMed:24522195, ECO:0000305|PubMed:26875496}."	1
C9J069	Apical junction component 1 homolog	976	"Apical cell membrane {ECO:0000250|UniProtKB:A0A1C3NSL9}. Cell projection, cilium {ECO:0000250|UniProtKB:A0A1C3NSL9}. Cell junction, adherens junction {ECO:0000250|UniProtKB:A0A1C3NSL9}."	1
Q9UQQ1	Aminopeptidase NAALADL1 (EC 3.4.11.-) (100 kDa ileum brush border membrane protein) (I100) (Ileal dipeptidylpeptidase) (N-acetylated-alpha-linked acidic dipeptidase-like protein) (NAALADase L)	740	Apical cell membrane {ECO:0000250|UniProtKB:O54697}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O54697}. Note=Ileal brush border membrane. {ECO:0000250|UniProtKB:O54697}.	1
Q6P1J6	"Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)"	1458	Apical cell membrane {ECO:0000250|UniProtKB:O54728}; Single-pass type I membrane protein {ECO:0000255}. Note=Present in the intestinal brush border membranes. {ECO:0000250|UniProtKB:O54728}.	1
Q9NP72	Ras-related protein Rab-18	206	"Apical cell membrane {ECO:0000250|UniProtKB:P35293}. Lipid droplet {ECO:0000269|PubMed:23935497, ECO:0000269|PubMed:30970241}."	1
Q9NSI5	Immunoglobulin superfamily member 5 (IgSF5) (Junctional adhesion molecule 4) (JAM-4)	407	"Apical cell membrane {ECO:0000250|UniProtKB:Q5VJ70}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q5VJ70}."	1
O00548	Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1)	723	"Apical cell membrane {ECO:0000250|UniProtKB:Q61483}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q61483}. Cell junction, adherens junction {ECO:0000250|UniProtKB:Q61483}. Membrane raft {ECO:0000250|UniProtKB:Q61483}. Note=Distributed around adherens junction in the apical endfeet through interactions with MAGI1. {ECO:0000250|UniProtKB:Q61483}."	1
Q5TF39	Sodium-dependent glucose transporter 1 (Major facilitator superfamily domain-containing protein 4B)	518	Apical cell membrane {ECO:0000250|UniProtKB:Q80T22}; Multi-pass membrane protein {ECO:0000250}.	1
Q8IV16	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1)	184	"Apical cell membrane {ECO:0000250|UniProtKB:Q9D1N2}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9D1N2}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q9D1N2}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9D1N2}. Cell membrane {ECO:0000269|PubMed:19304573}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q9D1N2}."	1
P22732	"Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine) (GLUT-5)"	501	"Apical cell membrane {ECO:0000250|UniProtKB:Q9WV38}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9WV38}. Cell membrane {ECO:0000269|PubMed:1695905, ECO:0000269|PubMed:28083649, ECO:0000269|PubMed:7619085, ECO:0000269|PubMed:8333543}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9WV38}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P43427}. Note=Localized on the apical membrane of jejunum villi, but also on lateral plasma membranes of the villi. Transport to the cell membrane is dependent on RAB11A. {ECO:0000250|UniProtKB:Q9WV38}."	1
Q6UQ28	Placenta-expressed transcript 1 protein	207	"Apical cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}. Note=Localized at the apical membrane of the most differentiated keratinocytes of the outer root sheath (ORS), clustered mainly in planar regions of the plasma membrane at the base of microvilli. {ECO:0000250}."	1
Q8N271	Prominin-2 (PROM-2) (Prominin-like protein 2) (hPROML2)	834	"Apical cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell projection, microvillus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell projection, cilium membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Colocalizes with PROM1. Associates with membrane in a cholesterol-dependent manner. Localizes to the apical and basolateral membranes of epithelial cells (By similarity). {ECO:0000250}."	1
Q9NP91	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog)	592	Apical cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Located in the apical brush border membrane of kidney proximal tubule cells. {ECO:0000250}.	1
Q9BY79	Membrane frizzled-related protein (Membrane-type frizzled-related protein)	579	Apical cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.	1
Q92887	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	1545	"Apical cell membrane {ECO:0000269|PubMed:10220572, ECO:0000269|PubMed:11093739}; Multi-pass membrane protein {ECO:0000255}."	1
Q9NRD9	Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1)	1551	"Apical cell membrane {ECO:0000269|PubMed:10806195, ECO:0000269|PubMed:15210697}; Multi-pass membrane protein {ECO:0000269|PubMed:10806195, ECO:0000269|PubMed:15210697}. Note=Localizes to the apical membrane of epithelial cells."	1
Q9UBD6	Ammonium transporter Rh type C (Rh glycoprotein kidney) (Rhesus blood group family type C glycoprotein) (Rh family type C glycoprotein) (Rh type C glycoprotein) (Tumor-related protein DRC2)	479	"Apical cell membrane {ECO:0000269|PubMed:10852913, ECO:0000269|PubMed:12204676}; Multi-pass membrane protein {ECO:0000269|PubMed:10852913, ECO:0000269|PubMed:12204676}. Note=Also detected at the basolateral membrane and in subapical vesicles. {ECO:0000250}."	1
Q8N695	Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8)	610	"Apical cell membrane {ECO:0000269|PubMed:12107270, ECO:0000269|PubMed:15001644, ECO:0000269|PubMed:17245649}; Multi-pass membrane protein {ECO:0000269|PubMed:12107270, ECO:0000269|PubMed:15001644, ECO:0000269|PubMed:17245649}. Note=Expressed at the apical membrane of normal tall thyrocytes and of colonic epithelial cells. {ECO:0000269|PubMed:12107270, ECO:0000269|PubMed:15001644, ECO:0000269|PubMed:17245649}."	1
Q9BYE9	Cadherin-related family member 2 (Protocadherin LKC) (PC-LKC) (Protocadherin-24)	1310	"Apical cell membrane {ECO:0000269|PubMed:12117771, ECO:0000269|PubMed:24725409}; Single-pass type I membrane protein {ECO:0000269|PubMed:12117771, ECO:0000269|PubMed:24725409}. Cell projection, microvillus membrane {ECO:0000269|PubMed:12117771, ECO:0000269|PubMed:24725409}; Single-pass type I membrane protein {ECO:0000269|PubMed:12117771, ECO:0000269|PubMed:24725409}. Cell junction {ECO:0000269|PubMed:12117771}."	1
P82251	"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"	487	"Apical cell membrane {ECO:0000269|PubMed:12167606, ECO:0000269|PubMed:16609684}; Multi-pass membrane protein {ECO:0000269|PubMed:16609684, ECO:0000305|PubMed:12167606}."	1
Q8IZP9	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)	1017	Apical cell membrane {ECO:0000269|PubMed:12420295}; Multi-pass membrane protein {ECO:0000255}.	1
Q9BUF7	Protein crumbs homolog 3	120	"Apical cell membrane {ECO:0000269|PubMed:12527193, ECO:0000269|PubMed:12771187, ECO:0000269|PubMed:14718572}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000269|PubMed:12527193}. Note=Localizes primarily to the apical membrane with a small fraction in the upper part of tight junctions of epithelial cells. {ECO:0000269|PubMed:14718572}."	1
Q96PS8	Aquaporin-10 (AQP-10) (Aquaglyceroporin-10) (Small intestine aquaporin)	301	"Apical cell membrane {ECO:0000269|PubMed:15221416}; Multi-pass membrane protein {ECO:0000269|PubMed:30420639}. Cell membrane {ECO:0000269|PubMed:11573934, ECO:0000269|PubMed:12084581, ECO:0000269|PubMed:23382902, ECO:0000269|PubMed:30420639}; Multi-pass membrane protein {ECO:0000269|PubMed:30420639}. Lipid droplet {ECO:0000269|PubMed:23382902}. Note=Detected around lipid droplets. {ECO:0000269|PubMed:23382902}."	1
Q9NRD8	Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase)	1548	"Apical cell membrane {ECO:0000269|PubMed:15591162, ECO:0000269|PubMed:26301257}; Multi-pass membrane protein {ECO:0000269|PubMed:15591162}. Cell junction {ECO:0000269|PubMed:26301257}. Note=Localizes to the apical membrane of epithelial cells. Localizes on internal membrane structures under resting conditions, translocates to the plasma membrane and cell-cell junctions upon challenge with enteric pathogens, such as Escherichia coli. {ECO:0000269|PubMed:26301257}."	1
O95342	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	1321	"Apical cell membrane {ECO:0000269|PubMed:15791618, ECO:0000269|PubMed:22262466}; Multi-pass membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000250|UniProtKB:O70127}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O70127}. Endosome {ECO:0000250|UniProtKB:O70127}. Cell membrane {ECO:0000269|PubMed:20010382, ECO:0000269|PubMed:22262466, ECO:0000269|PubMed:29507376, ECO:0000269|PubMed:30431138}; Multi-pass membrane protein {ECO:0000255}. Note=Internalized at the canalicular membrane through interaction with the adapter protein complex 2 (AP-2) (PubMed:22262466). At steady state, localizes in the canalicular membrane but is also present in recycling endosomes. ABCB11 constantly and rapidly exchanges between the two sites through tubulo-vesicles carriers that move along microtubules. Microtubule-dependent trafficking of ABCB11 is enhanced by taurocholate and cAMP and regulated by STK11 through a PKA-mediated pathway. Trafficking of newly synthesized ABCB11 through endosomal compartment to the bile canalicular membrane is accelerated by cAMP but not by taurocholate (By similarity). Cell membrane expression is up-regulated by short- and medium-chain fatty acids (PubMed:20398791). {ECO:0000250|UniProtKB:O70127, ECO:0000269|PubMed:20398791, ECO:0000269|PubMed:22262466}."	1
Q1EHB4	Sodium-coupled monocarboxylate transporter 2 (Electroneutral sodium monocarboxylate cotransporter) (Low-affinity sodium-lactate cotransporter) (Solute carrier family 5 member 12)	618	Apical cell membrane {ECO:0000269|PubMed:17692818}; Multi-pass membrane protein {ECO:0000269|PubMed:17692818}. Note=Detected at the brush border membrane of the kidney. Colocalizes with viementin in Mueller cells (By similarity). {ECO:0000250}.	1
Q9BY07	Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5)	1137	Apical cell membrane {ECO:0000269|PubMed:17715183}; Multi-pass membrane protein {ECO:0000269|PubMed:17715183}. Note=Expressed in the apical plasma membrane domain of a subset of collecting ducts in the renal medulla. {ECO:0000269|PubMed:17715183}.	1
Q9NQA5	Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3)	729	"Apical cell membrane {ECO:0000269|PubMed:18768590}; Multi-pass membrane protein {ECO:0000269|PubMed:18768590}. Note=Colocalized with S100A10 and ANAX2 along the apical domain of kidney distal tubular cells (By similarity). The expression of the glycosylated form in the cell membrane is increased in the presence of WNK3 (PubMed:18768590). {ECO:0000250|UniProtKB:P69744, ECO:0000269|PubMed:18768590}."	1
P48764	Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3)	834	"Apical cell membrane {ECO:0000269|PubMed:19088451, ECO:0000269|PubMed:26358773}; Multi-pass membrane protein {ECO:0000269|PubMed:19088451}. Note=In intestinal epithelial cells, localizes to the ileal brush border. Phosphorylation at Ser-663 by SGK1 is associated with increased abundance at the cell membrane. Angiotensin-2 enhances apical expression (By similarity). {ECO:0000250|UniProtKB:Q28362}."	1
Q8IVL8	Carboxypeptidase O (CPO) (EC 3.4.17.-)	374	"Apical cell membrane {ECO:0000269|PubMed:21921028}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:21921028}."	1
P40879	Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3)	764	Apical cell membrane {ECO:0000269|PubMed:22159084}; Multi-pass membrane protein {ECO:0000269|PubMed:22159084}. Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localized in sperm membranes. Midpiece of sperm tail. Colocalizes with CFTR at the midpiece of sperm tail (By similarity). {ECO:0000250}.	1
P98164	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	4655	"Apical cell membrane {ECO:0000269|PubMed:23825075, ECO:0000269|PubMed:27798286}; Single-pass type I membrane protein {ECO:0000255}. Endosome lumen {ECO:0000250|UniProtKB:P98158}. Membrane, coated pit {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, dendrite {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, axon {ECO:0000250|UniProtKB:A2ARV4}. Note=Localizes to brush border membranes in the kidney. In the endolymphatic sac of the inner ear, located in the lumen of endosomes as a soluble form. {ECO:0000250|UniProtKB:P98158}."	1
P51170	Amiloride-sensitive sodium channel subunit gamma (Epithelial Na(+) channel subunit gamma) (ENaCG) (Gamma-ENaC) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG)	649	"Apical cell membrane {ECO:0000269|PubMed:24124190, ECO:0000303|PubMed:7490094}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P37089}. Note=Apical membrane of epithelial cells. {ECO:0000303|PubMed:7490094}."	1
Q9HBB8	Cadherin-related family member 5 (Mu-protocadherin) (Mucin and cadherin-like protein) (Mucin-like protocadherin) (MLPCDH)	845	"Apical cell membrane {ECO:0000269|PubMed:24725409}; Single-pass type I membrane protein {ECO:0000269|PubMed:24725409}. Cell projection, microvillus membrane {ECO:0000269|PubMed:24725409}; Single-pass type I membrane protein {ECO:0000269|PubMed:24725409}."	1
Q06495	Sodium-dependent phosphate transport protein 2A (Sodium-phosphate transport protein 2A) (Na(+)-dependent phosphate cotransporter 2A) (NaPi-3) (Sodium/phosphate cotransporter 2A) (Na(+)/Pi cotransporter 2A) (NaPi-2a) (Solute carrier family 34 member 1)	639	Apical cell membrane {ECO:0000269|PubMed:26047794}; Multi-pass membrane protein {ECO:0000255}.	1
O60292	Signal-induced proliferation-associated 1-like protein 3 (SIPA1-like protein 3) (SPA-1-like protein 3)	1781	Apical cell membrane {ECO:0000269|PubMed:26231217}. Note=Detected in tricellular junctions. Colocalizes with apical F-actin. {ECO:0000269|PubMed:26231217}.	1
Q14916	Sodium-dependent phosphate transport protein 1 (Na(+)/PI cotransporter 1) (Na/Pi-4) (Renal Na(+)-dependent phosphate cotransporter 1) (Renal sodium-dependent phosphate transport protein 1) (Renal sodium-phosphate transport protein 1) (Sodium/phosphate cotransporter 1) (Solute carrier family 17 member 1)	467	Apical cell membrane {ECO:0000269|PubMed:27906618}; Multi-pass membrane protein {ECO:0000255}.	1
P16444	Dipeptidase 1 (EC 3.4.13.19) (Beta-lactamase) (EC 3.5.2.6) (Dehydropeptidase-I) (Microsomal dipeptidase) (Renal dipeptidase) (hRDP)	411	"Apical cell membrane {ECO:0000269|PubMed:28413640}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Cell projection, microvillus membrane {ECO:0000269|PubMed:2168407}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2168407}. Note=Brush border membrane. {ECO:0000250|UniProtKB:P31429}."	1
Q13237	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	762	Apical cell membrane {ECO:0000269|PubMed:8636133}; Lipid-anchor {ECO:0000269|PubMed:8636133}.	1
P56696	Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)	695	Basal cell membrane; Multi-pass membrane protein. Note=Situated at the basal membrane of cochlear outer hair cells. {ECO:0000250}.	1
Q86XJ0	Calcium homeostasis modulator protein 3 (Protein A)	344	Basolateral cell membrane {ECO:0000250|UniProtKB:J3QMI4}; Multi-pass membrane protein {ECO:0000255}.	1
Q6U841	Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10)	1118	"Basolateral cell membrane {ECO:0000250|UniProtKB:Q5DTL9}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000250|UniProtKB:Q80ZA5}; Multi-pass membrane protein {ECO:0000255}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q5DTL9}. Cell projection, axon {ECO:0000250|UniProtKB:Q5DTL9}. Perikaryon {ECO:0000250|UniProtKB:Q5DTL9}. Cell junction, synapse, presynapse {ECO:0000250|UniProtKB:Q5DTL9}. Cell junction, synapse, postsynapse {ECO:0000250|UniProtKB:Q5DTL9}. Note=Detected in dendrites and axon terminals of retinal OFF bipolar cells and in axon terminals of ON bipolar cells. In amacrine cells, located in the perikaryon. Also detected in basal and apical dendrites of hippocampal pyramidal cells. {ECO:0000250|UniProtKB:Q5DTL9}."	1
Q6ZQN7	Solute carrier organic anion transporter family member 4C1 (OATP-H) (Organic anion transporter M1) (OATP-M1) (Solute carrier family 21 member 20)	724	Basolateral cell membrane {ECO:0000250|UniProtKB:Q71MB6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q71MB6}. Note=Detected at the basolateral membrane of the proximal tubule cell in the kidney. {ECO:0000250|UniProtKB:Q71MB6}.	1
Q6ZMH5	Zinc transporter ZIP5 (Solute carrier family 39 member 5) (Zrt- and Irt-like protein 5) (ZIP-5)	540	Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	1
Q9UHW9	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)	1150	Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	1
O15438	ATP-binding cassette sub-family C member 3 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multispecific organic anion transporter 2) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	1527	"Basolateral cell membrane {ECO:0000269|PubMed:10094960, ECO:0000269|PubMed:10359813, ECO:0000269|PubMed:15083066}; Multi-pass membrane protein {ECO:0000255}."	1
O15439	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	1325	"Basolateral cell membrane {ECO:0000269|PubMed:11106685, ECO:0000269|PubMed:12883481, ECO:0000269|PubMed:26721430}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:11856762, ECO:0000269|PubMed:26721430}; Multi-pass membrane protein {ECO:0000255}. Note=Its localization to the basolateral or apical membranes is tissue-dependent. {ECO:0000305|PubMed:26721430}."	1
Q9Y694	Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2)	548	"Basolateral cell membrane {ECO:0000269|PubMed:11907186, ECO:0000269|PubMed:12023506}; Multi-pass membrane protein {ECO:0000269|PubMed:11907186, ECO:0000269|PubMed:12023506}. Note=Apical side of the renal tubule."	1
Q9Y6L6	Solute carrier organic anion transporter family member 1B1 (Liver-specific organic anion transporter 1) (LST-1) (OATP-C) (Sodium-independent organic anion-transporting polypeptide 2) (OATP-2) (Solute carrier family 21 member 6)	691	Basolateral cell membrane {ECO:0000269|PubMed:12196548}; Multi-pass membrane protein {ECO:0000269|PubMed:12196548}. Note=Detected in basolateral membranes of hepatocytes.	1
Q9Y6R1	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)	1079	"Basolateral cell membrane {ECO:0000269|PubMed:12907161, ECO:0000269|PubMed:15273250, ECO:0000269|PubMed:16636648, ECO:0000269|PubMed:17661077, ECO:0000305|PubMed:12534288, ECO:0000305|PubMed:29500354}; Multi-pass membrane protein {ECO:0000269|PubMed:12534288, ECO:0000305|PubMed:29500354}."	1
