Entry	Protein names	Length	Subcellular location [CC]	mark
Q08AH1	"Acyl-coenzyme A synthetase ACSM1, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 1) (Benzoate--CoA ligase) (EC 6.2.1.25) (Butyrate--CoA ligase 1) (Butyryl-coenzyme A synthetase 1) (Lipoate-activating enzyme) (Middle-chain acyl-CoA synthetase 1) (Xenobiotic/medium-chain fatty acid-CoA ligase HXM-B)"	577	Mitochondrion matrix {ECO:0000250|UniProtKB:Q91VA0}. Mitochondrion {ECO:0000250|UniProtKB:Q91VA0}.	1
Q9NP81	"Serine--tRNA ligase, mitochondrial (EC 6.1.1.11) (SerRSmt) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	518	Mitochondrion matrix {ECO:0000250|UniProtKB:Q9N0F3}.	1
P21953	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDE1B) (BCKDH E1-beta)"	392	Mitochondrion matrix.	
Q9NSE4	"Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)"	1012	Mitochondrion matrix {ECO:0000250}.	1
Q99797	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)	713	Mitochondrion matrix.	
Q16654	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)"	411	Mitochondrion matrix.	
Q86W56	Poly(ADP-ribose) glycohydrolase (EC 3.2.1.143)	976	"[Isoform 1]: Nucleus {ECO:0000269|PubMed:16460818, ECO:0000269|PubMed:21398629}. Note=Colocalizes with PCNA at replication foci (PubMed:21398629). Relocalizes to the cytoplasm in response to DNA damage (PubMed:16460818). {ECO:0000269|PubMed:16460818, ECO:0000269|PubMed:21398629}.; [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15212953, ECO:0000269|PubMed:16460818}. Note=Translocates to the nucleus in response to DNA damage. {ECO:0000269|PubMed:16460818}.; [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:15212953}.; [Isoform 4]: Cytoplasm {ECO:0000269|PubMed:22433848}. Mitochondrion {ECO:0000269|PubMed:22433848}.; [Isoform 5]: Mitochondrion matrix {ECO:0000269|PubMed:17509564}."	
Q8NCN5	"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial (PDPr)"	879	Mitochondrion matrix {ECO:0000250}.	1
Q9UL12	"Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3) (BPR-2)"	918	Mitochondrion matrix {ECO:0000250}.	1
Q8TCS8	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1) (PNPase 1) (Polynucleotide phosphorylase-like protein)"	783	"Cytoplasm {ECO:0000269|PubMed:16055741}. Mitochondrion matrix {ECO:0000269|PubMed:12798676, ECO:0000269|PubMed:16055741}. Mitochondrion intermembrane space {ECO:0000269|PubMed:16966381}; Peripheral membrane protein {ECO:0000269|PubMed:16966381}."	
Q9P0J1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)"	537	Mitochondrion matrix {ECO:0000250}.	1
P29803	"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial (EC 1.2.4.1) (PDHE1-A type II)"	388	Mitochondrion matrix.	
Q9Y2S7	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	368	Mitochondrion matrix {ECO:0000269|PubMed:16428295}. Nucleus {ECO:0000269|PubMed:16428295}. Note=Mainly localizes to the mitochondrial matrix; a small fraction localizes in the nucleus. {ECO:0000269|PubMed:16428295}.	
Q9BW92	"Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase-like 1)"	718	Mitochondrion matrix {ECO:0000250}.	1
Q06609	DNA repair protein RAD51 homolog 1 (HsRAD51) (hRAD51) (RAD51 homolog A)	339	"Nucleus {ECO:0000269|PubMed:12442171, ECO:0000269|PubMed:15665856, ECO:0000269|PubMed:18417535, ECO:0000269|PubMed:19783859, ECO:0000269|PubMed:23401855, ECO:0000269|PubMed:23509288, ECO:0000269|PubMed:26681308, ECO:0000269|PubMed:9192668}. Cytoplasm {ECO:0000269|PubMed:16215984, ECO:0000269|PubMed:26681308}. Cytoplasm, perinuclear region. Mitochondrion matrix {ECO:0000269|PubMed:20413593}. Chromosome {ECO:0000269|PubMed:23401855}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:21276791}. Note=Colocalizes with RAD51AP1 and RPA2 to multiple nuclear foci upon induction of DNA damage (PubMed:20154705). DNA damage induces an increase in nuclear levels (PubMed:20154705). Together with FIGNL1, redistributed in discrete nuclear DNA damage-induced foci after ionizing radiation (IR) or camptothecin (CPT) treatment (PubMed:23754376). Accumulated at sites of DNA damage in a SPIDR-dependent manner (PubMed:23509288). Recruited at sites of DNA damage in a MCM9-MCM8-dependent manner (PubMed:23401855). {ECO:0000269|PubMed:20154705, ECO:0000269|PubMed:23401855, ECO:0000269|PubMed:23509288, ECO:0000269|PubMed:23754376}."	
Q8TAA5	"GrpE protein homolog 2, mitochondrial (Mt-GrpE#2)"	225	Mitochondrion matrix {ECO:0000250}.	1
Q12931	"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	704	Mitochondrion {ECO:0000269|PubMed:23564345}. Mitochondrion inner membrane {ECO:0000269|PubMed:23564345}. Mitochondrion matrix {ECO:0000269|PubMed:23564345}.	
Q00059	"Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)"	246	"Mitochondrion {ECO:0000269|PubMed:1737790, ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:22841477, ECO:0000269|PubMed:29445193}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}."	
Q9P2J9	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.43) (Pyruvate dehydrogenase phosphatase catalytic subunit 2) (PDPC 2)"	529	Mitochondrion matrix {ECO:0000250}.	1
Q9NX18	"Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)"	166	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03057, ECO:0000269|PubMed:19628817}."	1
P11177	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)"	359	Mitochondrion matrix.	
P36957	"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)"	453	"Mitochondrion matrix {ECO:0000305|PubMed:29211711}. Nucleus {ECO:0000269|PubMed:29211711}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}."	
P36776	"Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)"	959	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03120, ECO:0000269|PubMed:7961901}."	1
O00408	"cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)"	941	"[Isoform PDE2A3]: Cell membrane {ECO:0000269|PubMed:19632989, ECO:0000269|PubMed:28463107}; Lipid-anchor {ECO:0000269|PubMed:19632989}.; [Isoform PDE2A2]: Mitochondrion matrix {ECO:0000250|UniProtKB:Q922S4}. Mitochondrion inner membrane {ECO:0000269|PubMed:28463107}. Mitochondrion outer membrane {ECO:0000269|PubMed:28463107}.; [Isoform PDE2A1]: Cytoplasm {ECO:0000269|PubMed:19632989, ECO:0000269|PubMed:28463107}.; [Isoform 5]: Mitochondrion {ECO:0000305}."	
Q9Y6E7	"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial (EC 2.3.1.-) (NAD-dependent ADP-ribosyltransferase sirtuin-4) (EC 2.4.2.-) (NAD-dependent protein deacetylase sirtuin-4) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 4) (SIR2-like protein 4)"	314	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03161, ECO:0000269|PubMed:16079181, ECO:0000269|PubMed:16959573, ECO:0000269|PubMed:17715127}."	1
Q49AM1	"Transcription termination factor 2, mitochondrial (Mitochondrial transcription termination factor 2) (mTERF2) (Mitochondrial transcription termination factor-like protein) (mTERF-like) (mTERFL) (mTERF domain-containing protein 3, mitochondrial)"	385	"Mitochondrion {ECO:0000269|PubMed:16226716}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000250|UniProtKB:Q8BKY8}."	
P23368	"NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)"	584	Mitochondrion matrix.	
Q02218	"2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)"	1023	"Mitochondrion matrix {ECO:0000305|PubMed:29211711}. Nucleus {ECO:0000269|PubMed:29211711}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}."	
Q9UIJ7	"GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)"	227	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03169, ECO:0000269|PubMed:11485571}."	1
P27144	"Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)"	223	"Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03170, ECO:0000269|PubMed:11485571, ECO:0000269|PubMed:19766732, ECO:0000269|PubMed:26980435}."	1
P04179	"Superoxide dismutase [Mn], mitochondrial (EC 1.15.1.1)"	222	Mitochondrion matrix.	
Q8IYB8	"ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)"	786	"Nucleus {ECO:0000269|PubMed:17352692}. Mitochondrion matrix {ECO:0000269|PubMed:12466530, ECO:0000269|PubMed:17352692, ECO:0000269|PubMed:19864255}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}."	
P05165	"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)"	728	"Mitochondrion matrix {ECO:0000269|PubMed:10101253, ECO:0000269|PubMed:16023992}."	1
P30405	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)"	207	Mitochondrion matrix {ECO:0000269|PubMed:10406942}.	1
O43272	"Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Proline oxidase) (Proline oxidase 2) (p53-induced gene 6 protein)"	600	Mitochondrion matrix.	
Q16740	"ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)"	277	"Mitochondrion matrix {ECO:0000269|PubMed:10525407, ECO:0000269|PubMed:22354088}."	1
Q9HCC0	"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA carboxylase non-biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)"	563	"Mitochondrion matrix {ECO:0000269|PubMed:11170888, ECO:0000269|PubMed:16023992}."	1
O00746	"Nucleoside diphosphate kinase, mitochondrial (NDK) (NDP kinase, mitochondrial) (EC 2.7.4.6) (Nucleoside diphosphate kinase D) (NDPKD) (nm23-H4)"	187	"Mitochondrion intermembrane space {ECO:0000269|PubMed:18635542}; Peripheral membrane protein. Mitochondrion matrix {ECO:0000305|PubMed:18635542}. Note=Predominantly localized in the mitochondrion intermembrane space (PubMed:18635542). Colocalizes with OPA1 in mitochondria (PubMed:24970086). {ECO:0000269|PubMed:18635542, ECO:0000269|PubMed:24970086}."	
Q9HB07	MYG1 exonuclease (EC 3.1.-.-)	376	"Nucleus, nucleoplasm {ECO:0000269|PubMed:19014353, ECO:0000269|PubMed:20377893}. Mitochondrion matrix {ECO:0000269|PubMed:19014353, ECO:0000269|PubMed:20377893}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9JK81}."	
Q9HAV7	"GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)"	217	Mitochondrion matrix {ECO:0000269|PubMed:11311562}.	1
Q9NTG7	"NAD-dependent protein deacetylase sirtuin-3, mitochondrial (hSIRT3) (EC 2.3.1.286) (Regulatory protein SIR2 homolog 3) (SIR2-like protein 3)"	399	"Mitochondrion matrix {ECO:0000269|PubMed:12186850, ECO:0000269|PubMed:12374852, ECO:0000269|PubMed:16079181, ECO:0000269|PubMed:18215119, ECO:0000269|PubMed:23283301, ECO:0000269|PubMed:29445193}."	1
P22557	"5-aminolevulinate synthase, erythroid-specific, mitochondrial (ALAS-E) (EC 2.3.1.37) (5-aminolevulinic acid synthase 2) (Delta-ALA synthase 2) (Delta-aminolevulinate synthase 2)"	587	Mitochondrion matrix {ECO:0000269|PubMed:14643893}.	1
Q9NVH6	"Trimethyllysine dioxygenase, mitochondrial (EC 1.14.11.8) (Epsilon-trimethyllysine 2-oxoglutarate dioxygenase) (Epsilon-trimethyllysine hydroxylase) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase) (TML dioxygenase) (TMLD)"	421	Mitochondrion matrix {ECO:0000269|PubMed:15754339}.	1
Q9Y2Z4	"Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)"	477	Mitochondrion matrix {ECO:0000269|PubMed:15779907}.	1
Q6PI48	"Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)"	645	Mitochondrion matrix {ECO:0000269|PubMed:15779907}.	1
O00330	"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)"	501	Mitochondrion matrix.	
P11310	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)"	421	Mitochondrion matrix {ECO:0000269|PubMed:16020546}.	1
Q96RQ3	"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)"	725	Mitochondrion matrix {ECO:0000269|PubMed:16023992}.	1
Q96EH3	Mitochondrial assembly of ribosomal large subunit protein 1	234	"Mitochondrion matrix {ECO:0000269|PubMed:16548050, ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22238376, ECO:0000269|PubMed:22829778, ECO:0000269|PubMed:23171548, ECO:0000305|PubMed:28892042}. Note=Colocalizes with MRPL12 and/or MRPL14. {ECO:0000269|PubMed:22238375, ECO:0000269|PubMed:22829778}."	1
Q9NUB1	"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)"	689	Mitochondrion matrix {ECO:0000269|PubMed:16788062}.	1
Q5JRX3	"Presequence protease, mitochondrial (hPreP) (EC 3.4.24.-) (Pitrilysin metalloproteinase 1) (Metalloprotease 1) (hMP1)"	1037	"Mitochondrion matrix {ECO:0000269|PubMed:16849325, ECO:0000269|PubMed:19196155}."	1
Q5T160	"Probable arginine--tRNA ligase, mitochondrial (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)"	578	Mitochondrion matrix {ECO:0000250}.	
Q15119	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)"	407	Mitochondrion matrix.	
Q8N3J5	"Protein phosphatase 1K, mitochondrial (EC 3.1.3.16) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C isoform kappa) (PP2C-kappa)"	372	"Mitochondrion matrix {ECO:0000269|PubMed:17336929, ECO:0000269|PubMed:17374715}."	1
P12694	"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)"	445	Mitochondrion matrix.	
Q04837	"Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)"	148	"Mitochondrion {ECO:0000269|PubMed:18063578}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:18063578}."	
Q15031	"Probable leucine--tRNA ligase, mitochondrial (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"	903	Mitochondrion matrix {ECO:0000250}.	
Q96LW4	DNA-directed primase/polymerase protein (hPrimpol1) (EC 2.7.7.-) (Coiled-coil domain-containing protein 111)	560	"Nucleus {ECO:0000269|PubMed:24207056, ECO:0000269|PubMed:24240614}. Mitochondrion matrix {ECO:0000269|PubMed:24207056}. Chromosome {ECO:0000269|PubMed:28534480}. Note=Present in the nucleus, but a larger fraction is localized inside mitochondria (PubMed:24207056). Associates with nuclear chromatin during the G1 and S phases of unperturbed cell cycles (PubMed:24207056). Recruited to stalled replication forks following interaction with RPA1 (PubMed:28534480). {ECO:0000269|PubMed:24207056, ECO:0000269|PubMed:28534480}."	
O75127	"Pentatricopeptide repeat-containing protein 1, mitochondrial"	700	"Mitochondrion {ECO:0000269|PubMed:19651879, ECO:0000269|PubMed:21857155}. Mitochondrion matrix {ECO:0000250}."	
Q8N4T8	Carbonyl reductase family member 4 (EC 1.-.-.-) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Quinone reductase CBR4) (Short chain dehydrogenase/reductase family 45C member 1)	237	"Mitochondrion matrix {ECO:0000269|PubMed:19000905, ECO:0000269|PubMed:19571038}."	1
Q92506	Estradiol 17-beta-dehydrogenase 8 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 8) (17-beta-HSD 8) (3-ketoacyl-[acyl-carrier-protein] reductase alpha subunit) (KAR alpha subunit) (3-oxoacyl-[acyl-carrier-protein] reductase) (EC 1.1.1.-) (Protein Ke6) (Ke-6) (Really interesting new gene 2 protein) (Short chain dehydrogenase/reductase family 30C member 1) (Testosterone 17-beta-dehydrogenase 8) (EC 1.1.1.239)	261	Mitochondrion matrix {ECO:0000269|PubMed:19571038}.	1
Q86SX6	"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)"	157	Mitochondrion matrix {ECO:0000269|PubMed:20364084}.	1
P10109	"Adrenodoxin, mitochondrial (Adrenal ferredoxin) (Ferredoxin-1) (Hepatoredoxin)"	184	Mitochondrion matrix {ECO:0000269|PubMed:20547883}.	1
Q9BQ52	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	826	"Mitochondrion {ECO:0000269|PubMed:21593607}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:24703694}. Nucleus {ECO:0000269|PubMed:21593607}. Note=Mainly mitochondrial."	
